price,Brand,Processor,Generation,RAM,ROM,Graphic Card
99590,Lenovo,AMD Ryzen 7,,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX 
90990,Lenovo,AMD Ryzen 7,,16 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
32480,HP,Ryzen 5,5th Gen,8 GB,512 GB SSD,0
111999,Lenovo,Intel Core Ultra,,16 GB,1 TB SSD,0
21490,Acer,AMD Dual Core A3020,,4 GB,256 GB SSD,0
50100,HP,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
51990,DELL,Ryzen 5,,16 GB,512 GB SSD,0
46890,ASUS,Intel Core i5,10th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce GTX 
70000,Lenovo,Intel Core i5,12th Gen,16 GB,1 TB SSD,0
71490,HP,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
52990,HP,Ryzen 5,,16 GB,512 GB SSD,0
60999,ASUS,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
135990,ASUS,Intel Core i9,13th Gen,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX 
32990,MSI,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
53990,Acer,Intel Core i5,12th Gen,16 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
44090,HP,AMD Ryzen 7,,16 GB,512 GB SSD,0
102990,Acer,Intel Core i7,12th Gen,16 GB,1 TB SSD,8 GB Graphics/NVIDIA GeForce RTX 
36480,HP,Ryzen 5,,8 GB,512 GB SSD,0
56799,DELL,Intel Core i5,13th Gen,8 GB,1 TB SSD,0
39900,Lenovo,Ryzen 5,,8 GB,512 GB SSD,0
51330,HP,Ryzen 5,,8 GB,512 GB SSD,0
48990,ASUS,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
86490,HP,Intel Core i5,12th Gen,,,0
73999,Lenovo,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
33990,MSI,Ryzen 5,,8 GB,512 GB SSD,0
47990,HP,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
72999,Lenovo,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
45890,DELL,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
74990,Acer,Intel Core Ultra,,16 GB,512 GB SSD,0
33989,DELL,Intel Core i3,12th Gen,8 GB,256 GB SSD,0
38700,Acer,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
50600,Lenovo,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
52990,HP,Intel Core i5,13th Gen,8 GB,512 GB SSD,0
69990,ASUS,Intel Core i7,13th Gen,16 GB,512 GB SSD,0
54500,DELL,Intel Core i5,11th Gen,16 GB,512 GB SSD,0
38990,ASUS,Intel Core i5,11th Gen,8 GB,512 GB SSD,0
82990,MSI,Intel Core i5,12th Gen,16 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
54899,HP,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
64999,HP,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
34990,Lenovo,Intel Core i3,12th Gen,8 GB,256 GB SSD,0
41500,Lenovo,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
48990,Lenovo,Ryzen 5,,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
61990,DELL,AMD Ryzen 7,,8 GB,512 GB SSD,0
42999,HP,Intel Core i3,11th Gen,8 GB,512 GB SSD,0
41990,HP,Intel Core i3,13th Gen,8 GB,512 GB SSD,0
96990,Lenovo,Intel Core i7,12th Gen,16 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
52990,HP,Intel Core i5,13th Gen,8 GB,512 GB SSD,0
40490,HP,Intel Core i3,13th Gen,8 GB,512 GB SSD,0
58990,HP,Intel Core i7,12th Gen,8 GB,512 GB SSD,0
41590,DELL,Ryzen 5,,8 GB,512 GB SSD,0
32888,ASUS,Ryzen 3,,8 GB,512 GB SSD,0
99990,HP,Intel Core i7,13th Gen,16 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
37890,HP,Ryzen 5,,8 GB,512 GB SSD,0
79999,Lenovo,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
53990,HP,Intel Core i5,12th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce GTX 
59990,MSI,Intel Core i5,13th Gen,16 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
62990,ASUS,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
48490,Acer,Intel Core i7,11th Gen,16 GB,512 GB SSD,0
66990,Acer,Intel Core i5,13th Gen,16 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
32990,Acer,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
100990,HP,AMD Ryzen 7,,16 GB,1 TB SSD,6 GB Graphics/NVIDIA GeForce RTX 
49490,Lenovo,Ryzen 5,,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
65990,HP,Intel Core i5,13th Gen,8 GB,1 TB SSD,0
111000,Lenovo,Intel Core i7,13th Gen,24 GB,512 GB SSD,6 GB Graphics/NVIDIA GeForce RTX 
56990,Lenovo,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
69500,Lenovo,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
